26,35,158,172,205,83,180,8,211,195,55,93,224,159,150,27
211,195,55,93,27,65,79,75,32,40,26,35,158,172,205,8
111,213,30,21,82,45,131,40,109,50,85,62,8,83,180,205
4,129,98,74,252,123,198,143,9,178,247,69,253,95,24,1
241,100,250,29,122,152,134,13,91,244,153,193,227,240,113,169
101,71,121,61,168,192,31,236,104,225,57,56,118,15,84,3
36,221,217,160,9,178,247,69,135,148,106,141,252,123,198,143
101,71,121,61,4,129,98,74,91,244,153,193,118,15,84,3
215,233,25,90,88,59,238,163,168,192,31,236,151,127,214,53
241,100,250,29,6,239,145,133,122,152,134,13,73,185,105,175
