15,15,15,15,10,10,10,6,10,2,2,2,2,6,6,6
15,2,5,4,5,2,4,15,2,4,5,15,4,15,5,2
10,9,3,10,1,10,9,1,3,3,9,1,10,9,3,1
11,12,7,11,11,1,11,12,1,7,7,12,1,12,7,1
2,6,11,6,2,11,11,1,1,2,1,6,11,2,6,1
10,7,7,10,10,2,11,7,2,11,11,10,2,11,7,2
9,4,14,9,4,9,4,10,4,14,9,10,10,14,14,10
1,14,9,1,8,8,14,14,9,8,9,1,1,8,14,9
13,11,5,11,5,9,9,11,13,13,5,13,9,9,11,5
3,11,11,1,1,15,11,3,15,11,1,3,3,15,1,15
11,2,7,10,10,11,10,11,7,7,11,2,2,7,2,10
10,15,15,2,10,2,10,6,6,15,2,6,15,6,10,2
15,15,11,12,11,8,11,8,12,8,15,15,12,11,12,8
6,10,4,12,6,12,4,12,10,10,10,12,6,4,4,6
1,8,14,1,9,14,9,1,9,1,8,14,14,9,8,8
12,12,11,7,12,7,7,1,7,1,1,12,11,1,11,11
5,9,9,11,5,5,15,11,9,15,15,15,5,11,9,11
12,6,12,6,4,10,6,4,10,12,10,4,10,12,4,6
8,4,8,3,3,4,14,4,3,8,8,3,14,14,4,14
4,5,2,15,2,5,15,2,5,5,4,15,2,15,4,4
13,11,9,5,5,9,13,13,13,11,5,9,11,5,11,9
1,1,1,9,9,3,9,3,9,1,3,10,10,10,10,3
13,14,9,9,9,7,7,13,7,13,13,7,14,14,14,9
1,2,6,2,11,2,1,1,6,11,1,6,6,11,11,2
14,10,9,10,10,14,9,14,4,4,9,10,4,14,4,9
1,1,10,9,1,3,1,10,9,3,3,9,9,10,3,10
13,13,9,13,9,11,11,5,11,11,9,5,13,9,5,5
15,12,11,8,8,12,8,11,11,15,12,8,15,15,12,11
13,3,3,3,13,12,7,13,7,12,12,3,12,13,7,7
8,14,14,9,1,1,9,1,8,14,1,9,8,9,8,14
1,11,6,6,11,2,2,11,2,1,1,1,6,11,6,2
1,3,3,1,3,11,1,15,15,1,11,15,11,11,3,15
15,12,12,15,15,12,11,8,8,11,8,11,8,15,11,12
10,1,10,3,10,3,1,9,3,9,1,9,10,3,1,9
13,7,13,3,7,3,12,3,12,13,13,7,12,3,12,7
2,10,10,15,15,6,15,2,6,6,10,15,10,2,6,2
6,11,1,6,2,1,1,2,11,2,1,11,6,6,11,2
11,5,11,9,11,13,9,13,9,13,5,5,9,11,5,13
1,11,3,3,1,15,1,15,15,11,11,15,1,3,11,3
1,14,9,14,9,1,14,14,8,9,8,8,9,1,8,1
3,11,1,1,11,11,3,15,15,15,1,3,3,15,11,1
9,11,9,9,13,13,11,9,5,13,11,5,13,5,11,5
9,9,10,4,10,10,14,9,4,14,4,4,9,10,14,14
10,2,2,7,10,2,7,10,11,11,7,2,11,7,10,11
14,7,13,13,14,14,9,7,7,9,7,13,9,9,14,13
7,1,7,1,11,12,11,1,1,7,12,12,11,12,11,7
15,9,9,5,15,9,5,15,11,15,11,9,5,11,5,11
8,15,15,11,12,12,11,8,15,12,8,12,11,11,8,15
9,4,9,14,14,9,14,10,4,9,4,14,10,10,4,10
7,14,9,9,13,14,13,14,9,14,7,7,9,13,13,7
1,7,7,1,11,12,7,11,12,12,1,11,1,11,7,12
12,3,7,12,7,13,12,3,13,12,13,13,7,3,7,3
4,6,10,4,4,6,12,12,10,12,6,6,10,10,12,4
4,14,8,4,8,14,8,3,3,3,14,14,8,4,4,3
15,12,11,15,12,8,11,11,15,12,8,11,8,8,15,12
14,1,14,1,8,1,8,14,14,9,9,8,1,9,9,8
3,10,10,9,10,3,1,1,10,9,9,1,1,3,3,9
14,9,10,14,14,10,9,4,9,4,10,4,9,14,4,10
14,8,14,14,4,3,8,8,8,4,3,4,3,14,3,4
9,14,13,14,7,13,7,9,13,14,9,13,7,7,14,9
7,3,3,12,7,3,3,13,12,12,13,12,13,7,7,13
7,1,1,12,7,7,12,7,11,11,1,12,12,1,11,11
11,11,9,5,15,11,15,5,9,5,9,9,15,15,11,5
14,9,14,9,8,8,1,1,9,14,8,8,14,9,1,1
14,9,1,1,14,1,8,1,8,9,14,14,8,9,8,9
1,3,1,15,15,3,15,11,3,1,11,15,11,1,3,11
12,11,8,11,11,12,12,15,8,15,12,15,15,8,11,8
6,10,2,6,2,10,2,6,15,15,15,2,6,15,10,10
9,9,5,9,11,13,13,13,11,5,9,13,5,11,5,11
2,11,6,11,11,6,1,1,1,11,2,2,6,1,2,6
9,10,1,9,3,10,9,3,1,3,9,10,3,1,10,1
12,1,12,11,7,1,12,11,12,7,11,1,1,7,7,11
12,15,15,11,12,8,8,15,11,8,12,12,8,15,11,11
9,9,9,11,13,11,5,11,5,13,13,11,5,9,5,13
15,10,2,6,6,15,15,10,10,2,6,6,15,2,10,2
7,12,7,12,12,1,11,11,1,11,1,7,7,12,1,11
12,3,7,7,12,12,3,12,13,13,7,13,3,3,13,7
11,9,11,15,9,11,5,15,15,5,5,15,9,11,9,5
6,11,2,11,11,11,6,2,1,1,1,2,6,1,2,6
4,9,10,10,9,10,4,10,4,4,9,9,14,14,14,14
15,11,15,15,8,12,12,11,8,11,8,8,15,12,12,11
7,10,10,11,7,7,10,11,10,2,2,11,11,2,7,2
10,9,10,4,4,9,14,9,14,4,10,14,9,14,4,10
7,9,14,9,9,13,13,7,7,13,9,14,14,14,13,7
2,5,5,4,15,4,4,2,2,15,15,5,2,4,15,5
4,3,4,8,4,3,14,8,8,4,14,3,14,8,3,14
5,13,5,11,13,13,9,9,11,11,5,9,13,9,5,11
12,12,4,4,10,6,12,4,10,6,6,10,12,6,4,10
8,14,4,4,3,8,14,8,14,3,14,8,3,3,4,4
12,4,4,6,4,6,6,12,12,6,10,4,10,12,10,10
11,11,11,11,5,13,9,13,9,13,5,13,5,5,9,9
8,1,9,8,1,9,8,8,14,9,1,14,14,14,9,1
8,11,12,11,12,15,8,11,8,12,11,15,15,12,15,8
7,7,2,11,10,11,10,2,10,2,7,10,11,7,11,2
7,11,12,7,7,11,1,12,1,12,12,11,1,1,11,7
10,3,10,9,3,1,3,10,1,10,9,1,1,9,9,3
15,4,5,2,5,5,2,5,15,2,4,15,2,15,4,4
13,12,7,13,12,13,13,7,3,7,3,12,7,3,12,3
10,3,10,9,3,3,1,1,9,10,9,1,10,3,9,1
10,10,7,2,11,2,11,7,10,10,11,7,2,7,11,2
7,1,12,11,1,7,7,11,11,12,1,12,1,12,11,7
9,5,9,5,15,11,11,9,11,15,15,5,9,11,15,5
1,1,8,9,14,8,14,8,14,14,1,9,9,1,9,8
8,12,11,15,12,8,15,15,8,15,11,12,8,11,12,11
1,12,7,1,11,7,1,12,1,11,12,7,11,12,11,7
11,12,15,15,15,8,12,11,8,15,12,11,11,8,12,8
9,10,14,14,9,9,14,4,10,4,10,4,4,10,14,9
15,4,5,15,5,2,5,15,4,15,5,4,4,2,2,2
11,11,13,11,5,5,11,9,13,9,13,9,5,5,13,9
9,9,9,14,1,14,1,8,8,14,9,14,8,1,1,8
1,9,3,3,10,10,9,10,3,9,3,10,1,1,1,9
15,9,11,9,5,9,5,5,11,15,11,5,15,9,11,15
8,3,4,3,8,4,3,8,14,4,4,8,3,14,14,14
12,7,13,12,13,3,7,7,3,12,7,13,13,12,3,3
10,4,6,4,6,12,10,10,6,12,12,10,4,6,12,4
13,9,11,5,5,9,13,13,11,9,11,9,5,13,5,11
10,9,4,10,4,14,9,14,9,4,4,10,9,14,14,10
12,12,7,11,11,1,7,1,1,12,1,11,11,12,7,7
3,11,1,11,3,15,3,1,15,15,1,3,15,11,1,11
8,15,11,11,8,15,11,8,12,12,12,15,8,12,15,11
11,2,11,2,1,6,11,1,6,6,6,1,11,2,2,1
11,7,1,11,1,12,7,1,12,7,11,12,1,11,12,7
14,14,3,8,8,4,3,4,3,3,14,8,14,4,8,4
12,15,12,8,11,15,12,11,11,8,15,11,12,8,15,8
3,1,3,10,10,3,9,1,9,10,9,10,3,1,1,9
7,3,3,13,12,7,13,3,13,12,12,12,7,3,7,13
3,11,15,11,3,3,15,3,15,1,11,15,1,1,11,1
15,9,11,5,9,5,11,9,15,15,9,5,15,5,11,11
3,3,10,1,3,10,10,9,3,1,9,9,1,10,9,1
2,7,7,10,10,2,11,10,7,2,11,2,10,11,11,7
10,14,9,9,9,4,10,14,4,4,4,9,14,10,10,14
12,11,15,12,11,8,15,8,15,15,11,8,8,12,11,12
5,11,5,11,15,5,15,15,5,9,11,9,9,11,9,15
12,7,13,3,3,7,12,7,3,7,13,13,13,12,12,3
8,14,3,4,4,14,3,8,3,4,4,8,8,14,3,14
8,1,14,8,14,14,1,1,8,9,8,9,9,14,9,1
6,12,10,12,6,4,6,10,10,4,4,6,12,12,10,4
11,2,11,7,10,11,10,2,7,2,10,7,2,11,7,10
3,3,14,8,14,14,8,14,3,4,3,8,4,4,8,4
11,12,8,8,15,11,12,12,11,12,15,11,8,15,8,15
4,14,10,9,14,10,14,10,4,9,4,9,4,14,9,10
13,3,13,12,3,7,7,12,13,3,7,12,12,13,3,7
6,6,11,1,1,2,1,6,11,2,1,11,2,11,6,2
7,7,11,12,1,12,12,11,11,1,1,11,7,7,12,1
9,5,9,9,5,15,11,11,15,15,11,9,5,15,11,5
7,12,3,13,13,3,7,7,3,3,12,12,13,7,13,12
2,4,5,15,15,15,2,4,2,5,4,4,2,5,15,5
2,2,10,11,2,7,7,10,11,10,11,2,10,7,11,7
1,6,2,11,6,6,2,1,6,2,1,11,2,11,1,11
4,14,4,4,9,10,14,9,9,10,9,14,14,10,4,10
1,14,8,14,1,8,9,14,8,9,1,14,8,9,9,1
9,1,10,10,9,10,10,9,9,1,3,3,1,1,3,3
11,11,3,1,11,15,1,3,15,15,11,1,1,3,3,15
4,14,10,4,14,4,10,10,9,14,9,4,14,9,10,9
10,9,3,3,3,9,9,10,1,1,9,1,1,3,10,10
14,9,9,7,14,14,7,13,13,7,13,13,7,9,14,9
13,13,5,5,5,9,13,11,9,11,9,13,11,11,9,5
11,11,15,12,12,11,8,15,12,8,12,8,15,11,15,8
1,8,8,14,1,14,1,1,9,8,8,9,9,14,9,14
6,1,1,11,6,1,11,2,6,2,6,2,2,11,11,1
12,12,12,11,15,12,11,15,8,15,8,15,11,8,11,8
3,1,10,1,3,10,9,1,9,3,9,10,3,10,9,1
13,3,3,13,7,3,7,12,13,3,13,12,7,12,12,7
7,14,14,13,9,13,7,9,14,14,9,7,9,13,7,13
6,10,6,2,2,15,10,2,6,10,15,15,2,15,10,6
6,6,10,4,10,4,4,12,6,10,4,10,12,12,6,12
1,6,2,1,6,11,11,11,6,6,2,2,1,2,11,1
11,9,13,9,9,13,13,5,13,5,11,5,5,11,9,11
8,1,9,9,14,8,14,8,9,14,1,1,14,8,9,1
9,13,13,11,13,9,11,13,5,5,9,5,5,11,9,11
